"Route","Departing_Port","Arriving_Port","Airline","Month","Year","Month_Number","Month_Name","Analysis_Level","Sectors_Scheduled","Sectors_Flown","Cancellations","Departures_On_Time","Arrivals_On_Time","Departures_Delayed","Arrivals_Delayed","OnTime_Departures_Percent","OnTime_Arrivals_Percent","Cancellations_Percent"
"Melbourne-Canberra","Melbourne","Canberra","All Airlines",2023-04-01,2023,4,"Apr","Route",442,429,13,315,313,114,116,73.4265734265734,72.960372960373,2.94117647058824
"Melbourne-Darwin","Melbourne","Darwin","All Airlines",2023-04-01,2023,4,"Apr","Route",88,87,1,35,44,52,43,40.2298850574713,50.5747126436782,1.13636363636364
"Melbourne-Gold Coast","Melbourne","Gold Coast","All Airlines",2023-04-01,2023,4,"Apr","Route",582,550,32,340,335,210,215,61.8181818181818,60.9090909090909,5.49828178694158
"Melbourne-Hobart","Melbourne","Hobart","All Airlines",2023-04-01,2023,4,"Apr","Route",385,370,15,237,236,133,134,64.054054054054,63.7837837837838,3.8961038961039
"Melbourne-Launceston","Melbourne","Launceston","All Airlines",2023-04-01,2023,4,"Apr","Route",311,306,5,204,200,102,106,66.6666666666667,65.359477124183,1.60771704180064
"Melbourne-Mildura","Melbourne","Mildura","All Airlines",2023-04-01,2023,4,"Apr","Route",206,202,4,144,138,58,64,71.2871287128713,68.3168316831683,1.94174757281553
"Melbourne-Newcastle","Melbourne","Newcastle","All Airlines",2023-04-01,2023,4,"Apr","Route",140,137,3,101,95,36,42,73.7226277372263,69.3430656934307,2.14285714285714
"Melbourne-Perth","Melbourne","Perth","All Airlines",2023-04-01,2023,4,"Apr","Route",456,444,12,273,310,171,134,61.4864864864865,69.8198198198198,2.63157894736842
"Melbourne-Sunshine Coast","Melbourne","Sunshine Coast","All Airlines",2023-04-01,2023,4,"Apr","Route",178,176,2,104,110,72,66,59.0909090909091,62.5,1.12359550561798
"Melbourne-Sydney","Melbourne","Sydney","All Airlines",2023-04-01,2023,4,"Apr","Route",2183,1988,195,1507,1395,481,593,75.8048289738431,70.1710261569417,8.93266147503436
"Mildura-Melbourne","Mildura","Melbourne","All Airlines",2023-04-01,2023,4,"Apr","Route",206,202,4,139,133,63,69,68.8118811881188,65.8415841584158,1.94174757281553
"Mount Isa-Brisbane","Mount Isa","Brisbane","All Airlines",2023-04-01,2023,4,"Apr","Route",57,57,0,48,45,9,12,84.2105263157895,78.9473684210526,0
"Newcastle-Brisbane","Newcastle","Brisbane","All Airlines",2023-04-01,2023,4,"Apr","Route",267,253,14,180,185,73,68,71.1462450592885,73.1225296442688,5.2434456928839
"Newcastle-Melbourne","Newcastle","Melbourne","All Airlines",2023-04-01,2023,4,"Apr","Route",142,138,4,91,94,47,44,65.9420289855072,68.1159420289855,2.8169014084507
"Newman-Perth","Newman","Perth","All Airlines",2023-04-01,2023,4,"Apr","Route",159,154,5,124,117,30,37,80.5194805194805,75.974025974026,3.14465408805031
"Perth-Adelaide","Perth","Adelaide","All Airlines",2023-04-01,2023,4,"Apr","Route",192,187,5,132,133,55,54,70.5882352941177,71.1229946524064,2.60416666666667
"Perth-Brisbane","Perth","Brisbane","All Airlines",2023-04-01,2023,4,"Apr","Route",287,282,5,186,174,96,108,65.9574468085106,61.7021276595745,1.74216027874564
"Perth-Broome","Perth","Broome","All Airlines",2023-04-01,2023,4,"Apr","Route",122,118,4,80,86,38,32,67.7966101694915,72.8813559322034,3.27868852459016
"Perth-Darwin","Perth","Darwin","All Airlines",2023-04-01,2023,4,"Apr","Route",52,51,1,39,40,12,11,76.4705882352941,78.4313725490196,1.92307692307692
"Perth-Kalgoorlie","Perth","Kalgoorlie","All Airlines",2023-04-01,2023,4,"Apr","Route",144,138,6,104,103,34,35,75.3623188405797,74.6376811594203,4.16666666666667
"Perth-Karratha","Perth","Karratha","All Airlines",2023-04-01,2023,4,"Apr","Route",184,182,2,154,152,28,30,84.6153846153846,83.5164835164835,1.08695652173913
"Perth-Melbourne","Perth","Melbourne","All Airlines",2023-04-01,2023,4,"Apr","Route",466,453,13,301,311,152,142,66.4459161147903,68.6534216335541,2.78969957081545
"Perth-Newman","Perth","Newman","All Airlines",2023-04-01,2023,4,"Apr","Route",159,154,5,140,138,14,16,90.9090909090909,89.6103896103896,3.14465408805031
"Perth-Port Hedland","Perth","Port Hedland","All Airlines",2023-04-01,2023,4,"Apr","Route",172,159,13,126,124,33,35,79.2452830188679,77.9874213836478,7.55813953488372
"Perth-Sydney","Perth","Sydney","All Airlines",2023-04-01,2023,4,"Apr","Route",397,385,12,239,257,146,128,62.0779220779221,66.7532467532468,3.02267002518892
"Port Hedland-Perth","Port Hedland","Perth","All Airlines",2023-04-01,2023,4,"Apr","Route",170,156,14,98,112,58,44,62.8205128205128,71.7948717948718,8.23529411764706
"Port Lincoln-Adelaide","Port Lincoln","Adelaide","All Airlines",2023-04-01,2023,4,"Apr","Route",266,259,7,199,197,60,62,76.8339768339768,76.0617760617761,2.63157894736842
"Port Macquarie-Sydney","Port Macquarie","Sydney","All Airlines",2023-04-01,2023,4,"Apr","Route",195,187,8,145,142,42,45,77.5401069518716,75.9358288770053,4.1025641025641
"Proserpine-Brisbane","Proserpine","Brisbane","All Airlines",2023-04-01,2023,4,"Apr","Route",124,121,3,70,74,51,47,57.8512396694215,61.1570247933884,2.41935483870968
"Rockhampton-Brisbane","Rockhampton","Brisbane","All Airlines",2023-04-01,2023,4,"Apr","Route",306,296,10,210,215,86,81,70.9459459459459,72.6351351351351,3.26797385620915
"Sunshine Coast-Melbourne","Sunshine Coast","Melbourne","All Airlines",2023-04-01,2023,4,"Apr","Route",179,175,4,93,100,82,75,53.1428571428571,57.1428571428571,2.23463687150838
"Sunshine Coast-Sydney","Sunshine Coast","Sydney","All Airlines",2023-04-01,2023,4,"Apr","Route",222,217,5,141,118,76,99,64.9769585253456,54.3778801843318,2.25225225225225
"Sydney-Adelaide","Sydney","Adelaide","All Airlines",2023-04-01,2023,4,"Apr","Route",523,490,33,337,338,153,152,68.7755102040816,68.9795918367347,6.30975143403442
"Sydney-Albury","Sydney","Albury","All Airlines",2023-04-01,2023,4,"Apr","Route",214,213,1,186,191,27,22,87.3239436619718,89.6713615023474,0.467289719626168
"Sydney-Armidale","Sydney","Armidale","All Airlines",2023-04-01,2023,4,"Apr","Route",167,162,5,124,134,38,28,76.5432098765432,82.7160493827161,2.9940119760479
"Sydney-Ballina","Sydney","Ballina","All Airlines",2023-04-01,2023,4,"Apr","Route",205,204,1,134,137,70,67,65.6862745098039,67.156862745098,0.48780487804878
"Sydney-Brisbane","Sydney","Brisbane","All Airlines",2023-04-01,2023,4,"Apr","Route",1293,1221,72,863,829,358,392,70.6797706797707,67.8951678951679,5.56844547563805
"Sydney-Cairns","Sydney","Cairns","All Airlines",2023-04-01,2023,4,"Apr","Route",256,244,12,163,185,81,59,66.8032786885246,75.8196721311475,4.6875
"Sydney-Canberra","Sydney","Canberra","All Airlines",2023-04-01,2023,4,"Apr","Route",620,567,53,450,460,117,107,79.3650793650794,81.1287477954145,8.54838709677419
"Sydney-Coffs Harbour","Sydney","Coffs Harbour","All Airlines",2023-04-01,2023,4,"Apr","Route",234,234,0,187,192,47,42,79.9145299145299,82.051282051282,0
"Sydney-Dubbo","Sydney","Dubbo","All Airlines",2023-04-01,2023,4,"Apr","Route",212,211,1,166,184,45,27,78.6729857819905,87.2037914691943,0.471698113207547
"Sydney-Gold Coast","Sydney","Gold Coast","All Airlines",2023-04-01,2023,4,"Apr","Route",687,651,36,435,425,216,226,66.8202764976959,65.284178187404,5.24017467248908
"Sydney-Hamilton Island","Sydney","Hamilton Island","All Airlines",2023-04-01,2023,4,"Apr","Route",86,86,0,54,61,32,25,62.7906976744186,70.9302325581395,0
"Sydney-Hobart","Sydney","Hobart","All Airlines",2023-04-01,2023,4,"Apr","Route",236,231,5,158,164,73,67,68.3982683982684,70.995670995671,2.11864406779661
"Sydney-Launceston","Sydney","Launceston","All Airlines",2023-04-01,2023,4,"Apr","Route",112,110,2,70,69,40,41,63.6363636363636,62.7272727272727,1.78571428571429
"Sydney-Melbourne","Sydney","Melbourne","All Airlines",2023-04-01,2023,4,"Apr","Route",2179,1973,206,1353,1401,620,572,68.5757729346173,71.0086163203244,9.45387792565397
"Sydney-Perth","Sydney","Perth","All Airlines",2023-04-01,2023,4,"Apr","Route",404,394,10,235,267,159,127,59.6446700507614,67.7664974619289,2.47524752475248
"Sydney-Port Macquarie","Sydney","Port Macquarie","All Airlines",2023-04-01,2023,4,"Apr","Route",195,189,6,148,150,41,39,78.3068783068783,79.3650793650794,3.07692307692308
"Sydney-Sunshine Coast","Sydney","Sunshine Coast","All Airlines",2023-04-01,2023,4,"Apr","Route",221,217,4,149,149,68,68,68.6635944700461,68.6635944700461,1.80995475113122
"Sydney-Wagga Wagga","Sydney","Wagga Wagga","All Airlines",2023-04-01,2023,4,"Apr","Route",198,192,6,155,164,37,28,80.7291666666667,85.4166666666667,3.03030303030303
"Townsville-Brisbane","Townsville","Brisbane","All Airlines",2023-04-01,2023,4,"Apr","Route",328,324,4,218,207,106,117,67.2839506172839,63.8888888888889,1.21951219512195
"Townsville-Cairns","Townsville","Cairns","All Airlines",2023-04-01,2023,4,"Apr","Route",161,149,12,129,133,20,16,86.5771812080537,89.261744966443,7.45341614906832
"Wagga Wagga-Sydney","Wagga Wagga","Sydney","All Airlines",2023-04-01,2023,4,"Apr","Route",200,193,7,165,159,28,34,85.4922279792746,82.3834196891192,3.5
"All Ports-All Ports","All Ports","All Ports","All Airlines",2023-04-01,2023,4,"Apr","Network",45204,43421,1783,30911,31190,12510,12231,71.1890559867345,71.8316022201239,3.94434120874259
"Adelaide-Brisbane","Adelaide","Brisbane","Jetstar",2023-05-01,2023,5,"May","Airline Route",32,29,3,12,14,17,15,41.3793103448276,48.2758620689655,9.375
"Adelaide-Darwin","Adelaide","Darwin","Jetstar",2023-05-01,2023,5,"May","Airline Route",26,26,0,15,14,11,12,57.6923076923077,53.8461538461538,0
"Adelaide-Gold Coast","Adelaide","Gold Coast","Jetstar",2023-05-01,2023,5,"May","Airline Route",27,27,0,23,20,4,7,85.1851851851852,74.0740740740741,0
"Adelaide-Melbourne","Adelaide","Melbourne","Jetstar",2023-05-01,2023,5,"May","Airline Route",111,107,4,59,60,48,47,55.1401869158878,56.0747663551402,3.6036036036036
"Adelaide-Perth","Adelaide","Perth","Jetstar",2023-05-01,2023,5,"May","Airline Route",26,26,0,16,19,10,7,61.5384615384615,73.0769230769231,0
"Adelaide-Sydney","Adelaide","Sydney","Jetstar",2023-05-01,2023,5,"May","Airline Route",111,101,10,67,63,34,38,66.3366336633663,62.3762376237624,9.00900900900901
"Ballina-Sydney","Ballina","Sydney","Jetstar",2023-05-01,2023,5,"May","Airline Route",62,62,0,32,34,30,28,51.6129032258064,54.8387096774194,0
"Brisbane-Adelaide","Brisbane","Adelaide","Jetstar",2023-05-01,2023,5,"May","Airline Route",32,29,3,14,20,15,9,48.2758620689655,68.9655172413793,9.375
"Brisbane-Cairns","Brisbane","Cairns","Jetstar",2023-05-01,2023,5,"May","Airline Route",75,74,1,40,39,34,35,54.0540540540541,52.7027027027027,1.33333333333333
"Brisbane-Canberra","Brisbane","Canberra","Jetstar",2023-05-01,2023,5,"May","Airline Route",31,29,2,10,10,19,19,34.4827586206897,34.4827586206897,6.45161290322581
"Brisbane-Darwin","Brisbane","Darwin","Jetstar",2023-05-01,2023,5,"May","Airline Route",23,22,1,15,15,7,7,68.1818181818182,68.1818181818182,4.34782608695652
"Brisbane-Hobart","Brisbane","Hobart","Jetstar",2023-05-01,2023,5,"May","Airline Route",17,17,0,15,16,2,1,88.2352941176471,94.1176470588235,0
"Brisbane-Launceston","Brisbane","Launceston","Jetstar",2023-05-01,2023,5,"May","Airline Route",18,18,0,5,5,13,13,27.7777777777778,27.7777777777778,0
"Brisbane-Mackay","Brisbane","Mackay","Jetstar",2023-05-01,2023,5,"May","Airline Route",23,21,2,5,3,16,18,23.8095238095238,14.2857142857143,8.69565217391304
"Brisbane-Melbourne","Brisbane","Melbourne","Jetstar",2023-05-01,2023,5,"May","Airline Route",148,135,13,81,85,54,50,60,62.962962962963,8.78378378378378
"Brisbane-Newcastle","Brisbane","Newcastle","Jetstar",2023-05-01,2023,5,"May","Airline Route",62,62,0,43,38,19,24,69.3548387096774,61.2903225806452,0
"Brisbane-Perth","Brisbane","Perth","Jetstar",2023-05-01,2023,5,"May","Airline Route",22,22,0,14,20,8,2,63.6363636363636,90.9090909090909,0
"Brisbane-Proserpine","Brisbane","Proserpine","Jetstar",2023-05-01,2023,5,"May","Airline Route",31,31,0,20,19,11,12,64.5161290322581,61.2903225806452,0
"Brisbane-Sydney","Brisbane","Sydney","Jetstar",2023-05-01,2023,5,"May","Airline Route",148,129,19,85,84,44,45,65.8914728682171,65.1162790697674,12.8378378378378
"Brisbane-Townsville","Brisbane","Townsville","Jetstar",2023-05-01,2023,5,"May","Airline Route",50,50,0,35,33,15,17,70,66,0
"Cairns-Brisbane","Cairns","Brisbane","Jetstar",2023-05-01,2023,5,"May","Airline Route",75,74,1,43,47,31,27,58.1081081081081,63.5135135135135,1.33333333333333
"Cairns-Melbourne","Cairns","Melbourne","Jetstar",2023-05-01,2023,5,"May","Airline Route",79,78,1,49,52,29,26,62.8205128205128,66.6666666666667,1.26582278481013
"Cairns-Sydney","Cairns","Sydney","Jetstar",2023-05-01,2023,5,"May","Airline Route",70,66,4,36,42,30,24,54.5454545454545,63.6363636363636,5.71428571428571
"Canberra-Brisbane","Canberra","Brisbane","Jetstar",2023-05-01,2023,5,"May","Airline Route",31,29,2,9,13,20,16,31.0344827586207,44.8275862068966,6.45161290322581
"Canberra-Gold Coast","Canberra","Gold Coast","Jetstar",2023-05-01,2023,5,"May","Airline Route",18,18,0,7,12,11,6,38.8888888888889,66.6666666666667,0
"Canberra-Melbourne","Canberra","Melbourne","Jetstar",2023-05-01,2023,5,"May","Airline Route",31,29,2,13,14,16,15,44.8275862068966,48.2758620689655,6.45161290322581
"Darwin-Adelaide","Darwin","Adelaide","Jetstar",2023-05-01,2023,5,"May","Airline Route",27,27,0,13,16,14,11,48.1481481481481,59.2592592592593,0
"Darwin-Brisbane","Darwin","Brisbane","Jetstar",2023-05-01,2023,5,"May","Airline Route",22,21,1,13,15,8,6,61.9047619047619,71.4285714285714,4.54545454545455
"Darwin-Melbourne","Darwin","Melbourne","Jetstar",2023-05-01,2023,5,"May","Airline Route",22,22,0,8,10,14,12,36.3636363636364,45.4545454545455,0
"Gold Coast-Adelaide","Gold Coast","Adelaide","Jetstar",2023-05-01,2023,5,"May","Airline Route",27,27,0,23,23,4,4,85.1851851851852,85.1851851851852,0
"Gold Coast-Canberra","Gold Coast","Canberra","Jetstar",2023-05-01,2023,5,"May","Airline Route",17,17,0,12,13,5,4,70.5882352941177,76.4705882352941,0
"Gold Coast-Melbourne","Gold Coast","Melbourne","Jetstar",2023-05-01,2023,5,"May","Airline Route",183,172,11,108,108,64,64,62.7906976744186,62.7906976744186,6.01092896174863
"Gold Coast-Sydney","Gold Coast","Sydney","Jetstar",2023-05-01,2023,5,"May","Airline Route",241,230,11,171,173,59,57,74.3478260869565,75.2173913043478,4.5643153526971
"Hamilton Island-Sydney","Hamilton Island","Sydney","Jetstar",2023-05-01,2023,5,"May","Airline Route",18,18,0,5,6,13,12,27.7777777777778,33.3333333333333,0
"Hobart-Brisbane","Hobart","Brisbane","Jetstar",2023-05-01,2023,5,"May","Airline Route",17,17,0,15,12,2,5,88.2352941176471,70.5882352941177,0
"Hobart-Melbourne","Hobart","Melbourne","Jetstar",2023-05-01,2023,5,"May","Airline Route",130,127,3,79,80,48,47,62.2047244094488,62.992125984252,2.30769230769231
"Hobart-Sydney","Hobart","Sydney","Jetstar",2023-05-01,2023,5,"May","Airline Route",62,61,1,32,33,29,28,52.4590163934426,54.0983606557377,1.61290322580645
"Launceston-Brisbane","Launceston","Brisbane","Jetstar",2023-05-01,2023,5,"May","Airline Route",18,17,1,3,2,14,15,17.6470588235294,11.7647058823529,5.55555555555556
"Launceston-Melbourne","Launceston","Melbourne","Jetstar",2023-05-01,2023,5,"May","Airline Route",84,83,1,42,49,41,34,50.6024096385542,59.0361445783133,1.19047619047619
"Launceston-Sydney","Launceston","Sydney","Jetstar",2023-05-01,2023,5,"May","Airline Route",26,26,0,14,16,12,10,53.8461538461538,61.5384615384615,0
"Mackay-Brisbane","Mackay","Brisbane","Jetstar",2023-05-01,2023,5,"May","Airline Route",23,19,4,1,1,18,18,5.26315789473684,5.26315789473684,17.3913043478261
"Melbourne-Adelaide","Melbourne","Adelaide","Jetstar",2023-05-01,2023,5,"May","Airline Route",112,109,3,76,81,33,28,69.7247706422018,74.3119266055046,2.67857142857143
"Melbourne-Brisbane","Melbourne","Brisbane","Jetstar",2023-05-01,2023,5,"May","Airline Route",148,135,13,77,71,58,64,57.037037037037,52.5925925925926,8.78378378378378
"Melbourne-Cairns","Melbourne","Cairns","Jetstar",2023-05-01,2023,5,"May","Airline Route",79,78,1,52,59,26,19,66.6666666666667,75.6410256410256,1.26582278481013
"Melbourne-Canberra","Melbourne","Canberra","Jetstar",2023-05-01,2023,5,"May","Airline Route",31,29,2,16,17,13,12,55.1724137931034,58.6206896551724,6.45161290322581
"Melbourne-Darwin","Melbourne","Darwin","Jetstar",2023-05-01,2023,5,"May","Airline Route",22,22,0,12,13,10,9,54.5454545454545,59.0909090909091,0
"Melbourne-Gold Coast","Melbourne","Gold Coast","Jetstar",2023-05-01,2023,5,"May","Airline Route",183,174,9,104,111,70,63,59.7701149425287,63.7931034482759,4.91803278688525
"Melbourne-Hobart","Melbourne","Hobart","Jetstar",2023-05-01,2023,5,"May","Airline Route",130,127,3,74,75,53,52,58.2677165354331,59.0551181102362,2.30769230769231
"Melbourne-Launceston","Melbourne","Launceston","Jetstar",2023-05-01,2023,5,"May","Airline Route",84,83,1,53,53,30,30,63.855421686747,63.855421686747,1.19047619047619
"Melbourne-Newcastle","Melbourne","Newcastle","Jetstar",2023-05-01,2023,5,"May","Airline Route",44,44,0,31,34,13,10,70.4545454545455,77.2727272727273,0
"Melbourne-Perth","Melbourne","Perth","Jetstar",2023-05-01,2023,5,"May","Airline Route",62,57,5,39,45,18,12,68.4210526315789,78.9473684210526,8.06451612903226
"Melbourne-Sunshine Coast","Melbourne","Sunshine Coast","Jetstar",2023-05-01,2023,5,"May","Airline Route",62,62,0,34,33,28,29,54.8387096774194,53.2258064516129,0
"Melbourne-Sydney","Melbourne","Sydney","Jetstar",2023-05-01,2023,5,"May","Airline Route",364,331,33,203,226,128,105,61.3293051359517,68.2779456193353,9.06593406593407
"Newcastle-Brisbane","Newcastle","Brisbane","Jetstar",2023-05-01,2023,5,"May","Airline Route",63,62,1,40,39,22,23,64.5161290322581,62.9032258064516,1.58730158730159
"Newcastle-Melbourne","Newcastle","Melbourne","Jetstar",2023-05-01,2023,5,"May","Airline Route",44,44,0,30,33,14,11,68.1818181818182,75,0
"Perth-Adelaide","Perth","Adelaide","Jetstar",2023-05-01,2023,5,"May","Airline Route",26,26,0,15,15,11,11,57.6923076923077,57.6923076923077,0
"Perth-Brisbane","Perth","Brisbane","Jetstar",2023-05-01,2023,5,"May","Airline Route",22,22,0,12,14,10,8,54.5454545454545,63.6363636363636,0
"Perth-Melbourne","Perth","Melbourne","Jetstar",2023-05-01,2023,5,"May","Airline Route",63,57,6,31,31,26,26,54.3859649122807,54.3859649122807,9.52380952380952
"Perth-Sydney","Perth","Sydney","Jetstar",2023-05-01,2023,5,"May","Airline Route",43,40,3,21,20,19,20,52.5,50,6.97674418604651
"Proserpine-Brisbane","Proserpine","Brisbane","Jetstar",2023-05-01,2023,5,"May","Airline Route",31,31,0,13,14,18,17,41.9354838709677,45.1612903225806,0
"Sunshine Coast-Melbourne","Sunshine Coast","Melbourne","Jetstar",2023-05-01,2023,5,"May","Airline Route",62,62,0,32,27,30,35,51.6129032258064,43.5483870967742,0
"Sunshine Coast-Sydney","Sunshine Coast","Sydney","Jetstar",2023-05-01,2023,5,"May","Airline Route",79,75,4,52,44,23,31,69.3333333333333,58.6666666666667,5.06329113924051
"Sydney-Adelaide","Sydney","Adelaide","Jetstar",2023-05-01,2023,5,"May","Airline Route",111,102,9,54,61,48,41,52.9411764705882,59.8039215686275,8.10810810810811
"Sydney-Ballina","Sydney","Ballina","Jetstar",2023-05-01,2023,5,"May","Airline Route",62,62,0,40,39,22,23,64.5161290322581,62.9032258064516,0
"Sydney-Brisbane","Sydney","Brisbane","Jetstar",2023-05-01,2023,5,"May","Airline Route",146,130,16,79,79,51,51,60.7692307692308,60.7692307692308,10.958904109589
"Sydney-Cairns","Sydney","Cairns","Jetstar",2023-05-01,2023,5,"May","Airline Route",70,66,4,43,43,23,23,65.1515151515152,65.1515151515152,5.71428571428571
"Sydney-Gold Coast","Sydney","Gold Coast","Jetstar",2023-05-01,2023,5,"May","Airline Route",240,229,11,177,173,52,56,77.292576419214,75.5458515283843,4.58333333333333
"Sydney-Hamilton Island","Sydney","Hamilton Island","Jetstar",2023-05-01,2023,5,"May","Airline Route",18,18,0,9,8,9,10,50,44.4444444444444,0
"Sydney-Hobart","Sydney","Hobart","Jetstar",2023-05-01,2023,5,"May","Airline Route",62,61,1,31,33,30,28,50.8196721311475,54.0983606557377,1.61290322580645
"Sydney-Launceston","Sydney","Launceston","Jetstar",2023-05-01,2023,5,"May","Airline Route",26,26,0,21,22,5,4,80.7692307692308,84.6153846153846,0
"Sydney-Melbourne","Sydney","Melbourne","Jetstar",2023-05-01,2023,5,"May","Airline Route",364,333,31,223,228,110,105,66.966966966967,68.4684684684685,8.51648351648352
"Sydney-Perth","Sydney","Perth","Jetstar",2023-05-01,2023,5,"May","Airline Route",43,42,1,23,29,19,13,54.7619047619048,69.0476190476191,2.32558139534884
"Sydney-Sunshine Coast","Sydney","Sunshine Coast","Jetstar",2023-05-01,2023,5,"May","Airline Route",79,77,2,60,60,17,17,77.9220779220779,77.9220779220779,2.53164556962025
"Townsville-Brisbane","Townsville","Brisbane","Jetstar",2023-05-01,2023,5,"May","Airline Route",50,49,1,32,36,17,13,65.3061224489796,73.469387755102,2
"All Ports-All Ports","All Ports","All Ports","Jetstar",2023-05-01,2023,5,"May","Airline",6353,6084,269,3798,3928,2286,2156,62.4260355029586,64.5627876397107,4.23422005351802
"Adelaide-Melbourne","Adelaide","Melbourne","Qantas",2023-05-01,2023,5,"May","Airline Route",282,278,4,188,186,90,92,67.6258992805755,66.9064748201439,1.41843971631206
"Adelaide-Perth","Adelaide","Perth","Qantas",2023-05-01,2023,5,"May","Airline Route",93,93,0,71,73,22,20,76.3440860215054,78.494623655914,0
"Adelaide-Sydney","Adelaide","Sydney","Qantas",2023-05-01,2023,5,"May","Airline Route",236,233,3,157,152,76,81,67.381974248927,65.2360515021459,1.27118644067797
"Brisbane-Cairns","Brisbane","Cairns","Qantas",2023-05-01,2023,5,"May","Airline Route",74,74,0,60,55,14,19,81.0810810810811,74.3243243243243,0
"Brisbane-Hamilton Island","Brisbane","Hamilton Island","Qantas",2023-05-01,2023,5,"May","Airline Route",22,22,0,14,11,8,11,63.6363636363636,50,0
"Brisbane-Mackay","Brisbane","Mackay","Qantas",2023-05-01,2023,5,"May","Airline Route",100,100,0,67,68,33,32,67,68,0
"Brisbane-Melbourne","Brisbane","Melbourne","Qantas",2023-05-01,2023,5,"May","Airline Route",400,393,7,304,308,89,85,77.35368956743,78.3715012722646,1.75
"Brisbane-Mount Isa","Brisbane","Mount Isa","Qantas",2023-05-01,2023,5,"May","Airline Route",48,48,0,42,44,6,4,87.5,91.6666666666667,0
"Brisbane-Perth","Brisbane","Perth","Qantas",2023-05-01,2023,5,"May","Airline Route",150,150,0,119,132,31,18,79.3333333333333,88,0
"Brisbane-Sydney","Brisbane","Sydney","Qantas",2023-05-01,2023,5,"May","Airline Route",565,554,11,464,450,90,104,83.7545126353791,81.2274368231047,1.94690265486726
"Brisbane-Townsville","Brisbane","Townsville","Qantas",2023-05-01,2023,5,"May","Airline Route",75,75,0,51,50,24,25,68,66.6666666666667,0
"Cairns-Brisbane","Cairns","Brisbane","Qantas",2023-05-01,2023,5,"May","Airline Route",74,74,0,63,68,11,6,85.1351351351351,91.8918918918919,0
"Cairns-Melbourne","Cairns","Melbourne","Qantas",2023-05-01,2023,5,"May","Airline Route",31,30,1,13,12,17,18,43.3333333333333,40,3.2258064516129
"Cairns-Sydney","Cairns","Sydney","Qantas",2023-05-01,2023,5,"May","Airline Route",39,39,0,14,17,25,22,35.8974358974359,43.5897435897436,0
"Darwin-Melbourne","Darwin","Melbourne","Qantas",2023-05-01,2023,5,"May","Airline Route",31,31,0,21,26,10,5,67.741935483871,83.8709677419355,0
"Gold Coast-Melbourne","Gold Coast","Melbourne","Qantas",2023-05-01,2023,5,"May","Airline Route",31,31,0,20,22,11,9,64.5161290322581,70.9677419354839,0
"Gold Coast-Sydney","Gold Coast","Sydney","Qantas",2023-05-01,2023,5,"May","Airline Route",93,93,0,71,66,22,27,76.3440860215054,70.9677419354839,0
"Hamilton Island-Brisbane","Hamilton Island","Brisbane","Qantas",2023-05-01,2023,5,"May","Airline Route",22,22,0,11,13,11,9,50,59.0909090909091,0
"Hamilton Island-Sydney","Hamilton Island","Sydney","Qantas",2023-05-01,2023,5,"May","Airline Route",30,30,0,20,23,10,7,66.6666666666667,76.6666666666667,0
"Hobart-Melbourne","Hobart","Melbourne","Qantas",2023-05-01,2023,5,"May","Airline Route",44,44,0,34,36,10,8,77.2727272727273,81.8181818181818,0
"Hobart-Sydney","Hobart","Sydney","Qantas",2023-05-01,2023,5,"May","Airline Route",27,27,0,20,21,7,6,74.0740740740741,77.7777777777778,0
"Kalgoorlie-Perth","Kalgoorlie","Perth","Qantas",2023-05-01,2023,5,"May","Airline Route",24,23,1,18,19,5,4,78.2608695652174,82.6086956521739,4.16666666666667
"Karratha-Perth","Karratha","Perth","Qantas",2023-05-01,2023,5,"May","Airline Route",21,19,2,15,17,4,2,78.9473684210526,89.4736842105263,9.52380952380952
"Mackay-Brisbane","Mackay","Brisbane","Qantas",2023-05-01,2023,5,"May","Airline Route",100,100,0,69,73,31,27,69,73,0
"Melbourne-Adelaide","Melbourne","Adelaide","Qantas",2023-05-01,2023,5,"May","Airline Route",282,279,3,193,195,86,84,69.1756272401434,69.8924731182796,1.06382978723404
"Melbourne-Brisbane","Melbourne","Brisbane","Qantas",2023-05-01,2023,5,"May","Airline Route",399,391,8,280,281,111,110,71.6112531969309,71.8670076726343,2.00501253132832
"Melbourne-Cairns","Melbourne","Cairns","Qantas",2023-05-01,2023,5,"May","Airline Route",31,31,0,18,18,13,13,58.0645161290323,58.0645161290323,0
"Melbourne-Darwin","Melbourne","Darwin","Qantas",2023-05-01,2023,5,"May","Airline Route",31,30,1,13,15,17,15,43.3333333333333,50,3.2258064516129
"Melbourne-Gold Coast","Melbourne","Gold Coast","Qantas",2023-05-01,2023,5,"May","Airline Route",31,31,0,21,25,10,6,67.741935483871,80.6451612903226,0
"Melbourne-Hobart","Melbourne","Hobart","Qantas",2023-05-01,2023,5,"May","Airline Route",44,44,0,25,26,19,18,56.8181818181818,59.0909090909091,0
"Melbourne-Perth","Melbourne","Perth","Qantas",2023-05-01,2023,5,"May","Airline Route",209,205,4,139,154,66,51,67.8048780487805,75.1219512195122,1.91387559808612
"Melbourne-Sunshine Coast","Melbourne","Sunshine Coast","Qantas",2023-05-01,2023,5,"May","Airline Route",30,30,0,23,24,7,6,76.6666666666667,80,0
"Melbourne-Sydney","Melbourne","Sydney","Qantas",2023-05-01,2023,5,"May","Airline Route",1000,930,70,683,654,247,276,73.4408602150538,70.3225806451613,7
